year,month,day,CO,NO,NO2,O3,PM10,SO2,season_spring,season_summer,season_winter
2018,1,1,0.21,10.71,21.25,55.21,16.62,1.0,0,0,1
2018,1,2,0.36,20.0,37.42,36.79,16.17,2.0,0,0,1
2018,1,3,0.34,17.58,24.04,36.62,15.67,2.04,0,0,1
2018,1,4,0.31,15.92,26.96,32.33,17.12,1.96,0,0,1
2018,1,5,0.34,21.27,43.5,25.5,12.45,1.68,0,0,1
2018,1,6,0.48,58.62,53.54,25.08,27.71,2.29,0,0,1
2018,1,7,0.27,16.25,47.92,37.29,22.96,1.12,0,0,1
2018,1,8,0.44,40.17,55.33,15.38,20.25,2.21,0,0,1
2018,1,9,0.4,23.0,46.21,25.04,16.54,2.54,0,0,1
2018,1,10,0.38,15.42,40.46,35.33,14.42,2.25,0,0,1
2018,1,11,0.48,23.25,44.75,30.33,14.71,2.25,0,0,1
2018,1,12,0.58,48.79,58.38,21.5,19.54,2.92,0,0,1
2018,1,13,0.56,49.17,69.58,11.75,22.62,2.54,0,0,1
2018,1,14,0.32,13.96,34.83,31.04,10.33,1.96,0,0,1
2018,1,15,0.4,26.7,48.0,13.7,14.14,2.05,0,0,1
2018,1,16,0.52,31.67,49.75,19.25,14.48,2.5,0,0,1
2018,1,17,0.55,31.08,44.33,30.83,23.42,2.54,0,0,1
2018,1,18,0.36,20.17,49.79,28.42,16.96,2.21,0,0,1
2018,1,19,0.81,68.29,71.29,7.71,32.42,2.75,0,0,1
2018,1,20,0.25,19.67,39.25,30.5,13.38,1.46,0,0,1
2018,1,23,0.76,77.67,57.08,7.75,24.46,2.62,0,0,1
2018,1,24,0.56,121.75,69.0,5.42,31.92,3.33,0,0,1
2018,1,25,0.42,22.38,54.33,27.08,18.29,1.46,0,0,1
2018,1,26,0.31,27.09,60.17,24.17,11.79,1.22,0,0,1
2018,1,27,0.38,20.42,47.67,26.62,12.5,1.33,0,0,1
2018,1,28,0.52,33.46,55.21,32.0,18.46,1.54,0,0,1
2018,1,29,0.55,36.12,56.71,22.08,21.25,1.75,0,0,1
2018,1,30,0.85,66.38,68.67,15.71,30.04,3.42,0,0,1
2018,1,31,0.71,113.71,78.04,12.08,31.68,3.79,0,0,1
2018,2,1,0.6,50.0,64.29,16.96,19.58,2.5,0,0,1
2018,2,2,0.35,22.54,47.58,20.38,11.46,1.92,0,0,1
2018,2,3,0.28,11.04,32.46,42.92,8.79,2.08,0,0,1
2018,2,4,0.33,11.75,37.42,38.88,9.5,1.96,0,0,1
2018,2,5,0.65,58.04,75.08,19.46,20.58,2.67,0,0,1
2018,2,6,0.55,40.88,52.04,23.08,23.88,2.62,0,0,1
2018,2,7,0.42,21.67,45.62,25.83,12.92,2.62,0,0,1
2018,2,8,0.61,45.42,66.54,16.83,15.96,2.54,0,0,1
2018,2,9,0.43,32.08,55.58,22.75,15.42,2.58,0,0,1
2018,2,10,0.52,34.58,57.75,32.62,16.21,2.58,0,0,1
2018,2,11,0.43,22.42,46.08,34.04,15.42,2.12,0,0,1
2018,2,12,0.41,38.68,62.09,24.36,14.0,2.09,0,0,1
2018,2,13,0.35,19.46,42.25,37.33,11.08,1.75,0,0,1
2018,2,14,0.81,75.67,64.21,17.96,23.54,2.67,0,0,1
2018,2,15,1.02,161.38,83.08,5.5,36.0,3.96,0,0,1
2018,2,16,0.52,122.71,73.96,7.17,31.0,3.17,0,0,1
2018,2,17,0.39,31.12,48.42,21.54,19.75,1.46,0,0,1
2018,2,18,0.3,11.92,41.96,38.62,12.58,1.17,0,0,1
2018,2,19,0.56,35.5,58.17,25.29,18.54,1.71,0,0,1
2018,2,20,0.64,42.33,55.33,20.67,21.08,1.96,0,0,1
2018,2,21,0.48,37.04,56.67,25.21,16.42,1.67,0,0,1
2018,2,22,0.64,39.38,61.17,28.79,22.75,1.88,0,0,1
2018,2,23,0.51,29.79,62.88,29.67,22.92,2.08,0,0,1
2018,2,24,0.38,16.38,55.17,43.17,21.04,1.79,0,0,1
2018,2,25,0.38,15.62,56.79,43.75,24.83,2.46,0,0,1
2018,2,26,0.56,32.87,57.43,39.48,25.04,1.39,0,0,1
2018,2,27,0.53,40.62,59.46,33.83,17.79,1.29,0,0,1
2018,2,28,0.68,58.12,75.42,21.54,17.21,1.79,0,0,1
2018,3,1,1.02,124.38,81.92,14.42,30.25,3.04,0,0,1
2018,3,2,0.32,11.62,36.04,52.62,14.29,1.12,0,0,1
2018,3,3,0.28,13.0,44.79,40.71,13.08,1.12,0,0,1
2018,3,4,0.35,18.71,55.29,29.46,19.62,1.38,0,0,1
2018,3,5,0.41,27.83,53.83,31.46,14.25,1.25,0,0,1
2018,3,6,0.38,13.96,35.88,48.58,11.17,1.04,0,0,1
2018,3,7,0.35,17.71,45.75,39.21,13.36,1.33,0,0,1
2018,3,8,0.64,52.92,70.08,25.46,23.21,1.88,0,0,1
2018,3,9,0.57,47.62,66.29,25.21,25.58,2.04,0,0,1
2018,3,10,0.27,12.0,37.88,42.5,25.0,1.33,0,0,1
2018,3,11,0.22,6.96,32.17,45.25,14.71,1.0,0,0,1
2018,3,12,0.35,11.55,33.55,56.96,14.96,1.24,0,0,1
2018,3,13,0.41,21.08,55.96,36.38,17.88,1.38,0,0,1
2018,3,14,0.52,38.33,61.54,30.67,22.83,2.08,0,0,1
2018,3,15,0.35,13.58,49.21,46.54,16.75,1.5,0,0,1
2018,3,16,0.29,11.75,37.33,55.88,12.71,1.67,0,0,1
2018,3,17,0.24,8.04,27.5,61.96,9.21,1.0,0,0,1
2018,3,18,0.33,14.21,34.71,56.29,10.62,1.46,0,0,1
2018,3,19,0.35,14.08,39.29,52.75,14.04,1.29,0,0,1
2018,3,20,0.51,27.17,50.79,43.5,13.79,1.75,0,0,1
2018,3,21,0.45,25.33,53.08,49.83,15.92,2.21,0,0,1
2018,3,22,0.38,14.57,46.43,49.1,17.96,1.95,0,0,1
2018,3,23,0.5,28.88,58.21,41.96,21.25,2.75,0,0,1
2018,3,24,0.33,20.38,54.04,39.75,11.17,1.08,0,0,1
2018,3,25,0.3,11.17,41.52,60.22,14.48,1.0,0,0,1
2018,3,26,0.47,27.3,52.52,32.13,19.47,1.48,0,0,1
2018,3,27,0.44,21.12,53.04,37.67,18.08,1.38,0,0,1
2018,3,28,0.59,62.29,61.08,21.83,29.25,3.0,0,0,1
2018,3,29,0.42,32.17,57.96,36.79,23.79,2.29,0,0,1
2018,3,30,0.2,5.62,23.33,71.38,17.79,1.12,0,0,1
2018,3,31,0.22,7.5,21.54,77.46,17.92,1.25,0,0,1
